participant_id,species,species_shown,attitude,hunting_approval,conservation_status,conservation_dontknow,edibility,familiarity,desire_to_see,wtp_hunt,wtp_view,danger_humans,destructive_property,discrepancy_score,wvo_mutualism,wvo_domination,christian_nationalism_score,political_ideology,hunter_status,has_pets,game_meat_freq,eats_meat
R_1HYVp1JVeYK9alX,African savanna elephant,FALSE,5,1,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,-4,4.666666666666667,3.3333333333333335,2.1666666666666665,86,"Yes, I know someone who hunts",TRUE,1,TRUE
R_1HYVp1JVeYK9alX,American crow,FALSE,4,3,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,-1,4.666666666666667,3.3333333333333335,2.1666666666666665,86,"Yes, I know someone who hunts",TRUE,1,TRUE
R_1HYVp1JVeYK9alX,American robin,FALSE,5,2,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,-3,4.666666666666667,3.3333333333333335,2.1666666666666665,86,"Yes, I know someone who hunts",TRUE,1,TRUE
R_1HYVp1JVeYK9alX,Bald eagle,FALSE,4,2,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,-2,4.666666666666667,3.3333333333333335,2.1666666666666665,86,"Yes, I know someone who hunts",TRUE,1,TRUE
R_1HYVp1JVeYK9alX,Bison,FALSE,5,4,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,-1,4.666666666666667,3.3333333333333335,2.1666666666666665,86,"Yes, I know someone who hunts",TRUE,1,TRUE
R_1HYVp1JVeYK9alX,Black bear,FALSE,5,1,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,-4,4.666666666666667,3.3333333333333335,2.1666666666666665,86,"Yes, I know someone who hunts",TRUE,1,TRUE
R_1HYVp1JVeYK9alX,Brown rat,FALSE,2,4,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,2,4.666666666666667,3.3333333333333335,2.1666666666666665,86,"Yes, I know someone who hunts",TRUE,1,TRUE
R_1HYVp1JVeYK9alX,Cougar,TRUE,3,2,Of concern/vulnerable,FALSE,1,1,2,5,3,3,3,-1,4.666666666666667,3.3333333333333335,2.1666666666666665,86,"Yes, I know someone who hunts",TRUE,1,TRUE
R_1HYVp1JVeYK9alX,Coyote,FALSE,2,3,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,1,4.666666666666667,3.3333333333333335,2.1666666666666665,86,"Yes, I know someone who hunts",TRUE,1,TRUE
R_1HYVp1JVeYK9alX,Elk,FALSE,5,5,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,0,4.666666666666667,3.3333333333333335,2.1666666666666665,86,"Yes, I know someone who hunts",TRUE,1,TRUE
R_1HYVp1JVeYK9alX,Gray wolf,TRUE,5,1,Critically endangered,FALSE,1,2,2,5,3,2,3,-4,4.666666666666667,3.3333333333333335,2.1666666666666665,86,"Yes, I know someone who hunts",TRUE,1,TRUE
R_1HYVp1JVeYK9alX,Mallard duck,TRUE,4,4,Stable/least concern,FALSE,3,5,5,2,1,1,2,0,4.666666666666667,3.3333333333333335,2.1666666666666665,86,"Yes, I know someone who hunts",TRUE,1,TRUE
R_1HYVp1JVeYK9alX,Raccoon,FALSE,5,1,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,-4,4.666666666666667,3.3333333333333335,2.1666666666666665,86,"Yes, I know someone who hunts",TRUE,1,TRUE
R_1HYVp1JVeYK9alX,Rattlesnake,FALSE,1,4,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,3,4.666666666666667,3.3333333333333335,2.1666666666666665,86,"Yes, I know someone who hunts",TRUE,1,TRUE
