participant_id,attacc_species,sem_harmful_beneficial,sem_unpleasant_pleasant,sem_bad_good,control_overpopulated,control_threat_interests,control_threat_lives,attacc_attitude,attacc_accept,discrepancy_score,wvo_mutualism,wvo_domination,christian_nationalism_score,political_ideology,hunter_status,has_pets,game_meat_freq,eats_meat
R_1HYVp1JVeYK9alX,Bald eagle,3,4,3,5,2,4,3.3333333333333335,3.6666666666666665,0.33333333333333304,4.666666666666667,3.3333333333333335,2.1666666666666665,86,"Yes, I know someone who hunts",TRUE,1,TRUE
R_1HYVp1JVeYK9alX,Coyote,1,1,1,5,2,5,1,4,3,4.666666666666667,3.3333333333333335,2.1666666666666665,86,"Yes, I know someone who hunts",TRUE,1,TRUE
R_1HYVp1JVeYK9alX,White shark,3,4,5,5,1,4,4,3.3333333333333335,-0.6666666666666665,4.666666666666667,3.3333333333333335,2.1666666666666665,86,"Yes, I know someone who hunts",TRUE,1,TRUE
R_1HYVp1JVeYK9alX,White-tailed deer,4,5,5,5,2,4,4.666666666666667,3.6666666666666665,-1.0000000000000004,4.666666666666667,3.3333333333333335,2.1666666666666665,86,"Yes, I know someone who hunts",TRUE,1,TRUE
R_3NHrqxBChLYAMo1,Bald eagle,4,5,5,2,2,3,4.666666666666667,2.3333333333333335,-2.3333333333333335,5,3,1.6666666666666667,84,"Yes, I hunt or have hunted in the past",TRUE,3,TRUE
R_3NHrqxBChLYAMo1,Coyote,3,3,3,5,4,4,3,4.333333333333333,1.333333333333333,5,3,1.6666666666666667,84,"Yes, I hunt or have hunted in the past",TRUE,3,TRUE
R_3NHrqxBChLYAMo1,White shark,5,5,5,5,4,4,5,4.333333333333333,-0.666666666666667,5,3,1.6666666666666667,84,"Yes, I hunt or have hunted in the past",TRUE,3,TRUE
R_3NHrqxBChLYAMo1,White-tailed deer,3,5,4,5,4,4,4,4.333333333333333,0.33333333333333304,5,3,1.6666666666666667,84,"Yes, I hunt or have hunted in the past",TRUE,3,TRUE
R_3g7OQfbqixNWd1C,Bald eagle,5,5,5,3,1,1,5,1.6666666666666667,-3.333333333333333,3.6666666666666665,2.3333333333333335,1.6666666666666667,74,"Yes, I hunt or have hunted in the past",TRUE,4,TRUE
R_3g7OQfbqixNWd1C,Coyote,3,3,3,5,5,2,3,4,1,3.6666666666666665,2.3333333333333335,1.6666666666666667,74,"Yes, I hunt or have hunted in the past",TRUE,4,TRUE
R_3g7OQfbqixNWd1C,White shark,5,5,5,1,1,1,5,1,-4,3.6666666666666665,2.3333333333333335,1.6666666666666667,74,"Yes, I hunt or have hunted in the past",TRUE,4,TRUE
R_3g7OQfbqixNWd1C,White-tailed deer,5,5,5,5,2,2,5,3,-2,3.6666666666666665,2.3333333333333335,1.6666666666666667,74,"Yes, I hunt or have hunted in the past",TRUE,4,TRUE
R_3iJz6vrdSABm5qz,Bald eagle,5,5,5,4,2,5,5,3.6666666666666665,-1.3333333333333335,4,2.6666666666666665,2.6666666666666665,89,"Yes, I know someone who hunts",FALSE,2,TRUE
R_3iJz6vrdSABm5qz,Coyote,4,3,4,5,4,5,3.6666666666666665,4.666666666666667,1.0000000000000004,4,2.6666666666666665,2.6666666666666665,89,"Yes, I know someone who hunts",FALSE,2,TRUE
R_3iJz6vrdSABm5qz,White shark,5,2,5,4,4,5,4,4.333333333333333,0.33333333333333304,4,2.6666666666666665,2.6666666666666665,89,"Yes, I know someone who hunts",FALSE,2,TRUE
R_3iJz6vrdSABm5qz,White-tailed deer,3,3,4,5,5,5,3.3333333333333335,5,1.6666666666666665,4,2.6666666666666665,2.6666666666666665,89,"Yes, I know someone who hunts",FALSE,2,TRUE
R_3imo93rzF1hWVXW,Bald eagle,5,5,5,1,1,1,5,1,-4,3.6666666666666665,2.6666666666666665,1.8333333333333333,88,No,TRUE,2,TRUE
R_3imo93rzF1hWVXW,Coyote,5,5,5,1,2,1,5,1.3333333333333333,-3.666666666666667,3.6666666666666665,2.6666666666666665,1.8333333333333333,88,No,TRUE,2,TRUE
R_3imo93rzF1hWVXW,White shark,5,4,5,1,1,4,4.666666666666667,2,-2.666666666666667,3.6666666666666665,2.6666666666666665,1.8333333333333333,88,No,TRUE,2,TRUE
R_3imo93rzF1hWVXW,White-tailed deer,3,4,4,5,3,1,3.6666666666666665,3,-0.6666666666666665,3.6666666666666665,2.6666666666666665,1.8333333333333333,88,No,TRUE,2,TRUE
R_3oBDgzY9OnUbhFF,Bald eagle,4,5,5,1,1,4,4.666666666666667,2,-2.666666666666667,3,4.333333333333333,1.8333333333333333,90,"Yes, I hunt or have hunted in the past",FALSE,4,TRUE
R_3oBDgzY9OnUbhFF,Coyote,2,3,3,4,5,5,2.6666666666666665,4.666666666666667,2.0000000000000004,3,4.333333333333333,1.8333333333333333,90,"Yes, I hunt or have hunted in the past",FALSE,4,TRUE
R_3oBDgzY9OnUbhFF,White shark,3,1,2,1,2,2,2,1.6666666666666667,-0.33333333333333326,3,4.333333333333333,1.8333333333333333,90,"Yes, I hunt or have hunted in the past",FALSE,4,TRUE
R_3oBDgzY9OnUbhFF,White-tailed deer,3,5,5,5,5,5,4.333333333333333,5,0.666666666666667,3,4.333333333333333,1.8333333333333333,90,"Yes, I hunt or have hunted in the past",FALSE,4,TRUE
R_3txtGngEdhYyI16,Bald eagle,2,4,4,4,3,4,3.3333333333333335,3.6666666666666665,0.33333333333333304,5,3.6666666666666665,2.1666666666666665,47,"Yes, I hunt or have hunted in the past",TRUE,4,TRUE
R_3txtGngEdhYyI16,Coyote,3,3,3,5,5,5,3,5,2,5,3.6666666666666665,2.1666666666666665,47,"Yes, I hunt or have hunted in the past",TRUE,4,TRUE
R_3txtGngEdhYyI16,White shark,3,3,3,4,4,4,3,4,1,5,3.6666666666666665,2.1666666666666665,47,"Yes, I hunt or have hunted in the past",TRUE,4,TRUE
R_3txtGngEdhYyI16,White-tailed deer,3,4,4,5,2,1,3.6666666666666665,2.6666666666666665,-1,5,3.6666666666666665,2.1666666666666665,47,"Yes, I hunt or have hunted in the past",TRUE,4,TRUE
R_3waZLy3Ub7ygyHv,Bald eagle,3,5,5,2,1,4,4.333333333333333,2.3333333333333335,-1.9999999999999996,5.666666666666667,3,1.6666666666666667,81,"Yes, I know someone who hunts",TRUE,2,TRUE
R_3waZLy3Ub7ygyHv,Coyote,2,3,3,2,2,2,2.6666666666666665,2,-0.6666666666666665,5.666666666666667,3,1.6666666666666667,81,"Yes, I know someone who hunts",TRUE,2,TRUE
R_3waZLy3Ub7ygyHv,White shark,4,3,3,2,2,2,3.3333333333333335,2,-1.3333333333333335,5.666666666666667,3,1.6666666666666667,81,"Yes, I know someone who hunts",TRUE,2,TRUE
R_3waZLy3Ub7ygyHv,White-tailed deer,3,4,5,4,2,2,4,2.6666666666666665,-1.3333333333333335,5.666666666666667,3,1.6666666666666667,81,"Yes, I know someone who hunts",TRUE,2,TRUE
